file_path,file_type,size_bytes,width,height,duration,sha256,meaningful_content_asset,old_usage,new_usage,decision,optimization_need_or_result,replacement_status,exclusion_reason,duplicate_counterpart
public_html/admin/ckeditor/plugins/about/dialogs/hidpi/logo_ckeditor.png,png,13339,326,116,,227a0aade8e648c3ab3977ce9e66b9491baa9aa7376082c652fdb76230adffdd,NO,"Legacy template, admin or interface asset",Not rendered in the redesigned public site,INTENTIONALLY_EXCLUDED,Not required,Not applicable,"Administrative, plugin, theme-demo or interface artwork; not Vista company content.",Eski/admin/ckeditor/plugins/about/dialogs/hidpi/logo_ckeditor.png
public_html/admin/ckeditor/plugins/about/dialogs/logo_ckeditor.png,png,6757,163,58,,954605bb634dae9f4d15ca33057d86eb62e34ae3bc57dfd5877b6d3356067413,NO,"Legacy template, admin or interface asset",Not rendered in the redesigned public site,INTENTIONALLY_EXCLUDED,Not required,Not applicable,"Administrative, plugin, theme-demo or interface artwork; not Vista company content.",Eski/admin/ckeditor/plugins/about/dialogs/logo_ckeditor.png
public_html/admin/ckeditor/plugins/icons.png,png,5881,16,1056,,88779260914cca894bda32f92ec66fa516eed8f080109593b56d2b53bfe452ba,NO,"Legacy template, admin or interface asset",Not rendered in the redesigned public site,INTENTIONALLY_EXCLUDED,Not required,Not applicable,"Administrative, plugin, theme-demo or interface artwork; not Vista company content.",admin/ckeditor/skins/moono-lisa/icons.png; Eski/admin/ckeditor/plugins/icons.png; Eski/admin/ckeditor/skins/moono-lisa/icons.png
public_html/admin/ckeditor/plugins/icons_hidpi.png,png,20430,32,2112,,bd0cf1caad03c29eda13f608e3d8470022d0a3797a93ff240a9f33d0a95b28a7,NO,"Legacy template, admin or interface asset",Not rendered in the redesigned public site,INTENTIONALLY_EXCLUDED,Not required,Not applicable,"Administrative, plugin, theme-demo or interface artwork; not Vista company content.",admin/ckeditor/skins/moono-lisa/icons_hidpi.png; Eski/admin/ckeditor/plugins/icons_hidpi.png; Eski/admin/ckeditor/skins/moono-lisa/icons_hidpi.png
public_html/admin/ckeditor/plugins/image/images/noimage.png,png,1610,40,40,,bd8c0e93d7bc89b0c36085672424fe2f698dac0e680a1b278f00a152579f2a93,NO,"Legacy template, admin or interface asset",Not rendered in the redesigned public site,INTENTIONALLY_EXCLUDED,Not required,Not applicable,"Administrative, plugin, theme-demo or interface artwork; not Vista company content.",Eski/admin/ckeditor/plugins/image/images/noimage.png
public_html/admin/ckeditor/plugins/link/images/anchor.png,png,752,16,16,,cddc8927dfdd672d655b96b551ba1ad1599c5f13d13deb2b09a28b54c853a25c,NO,"Legacy template, admin or interface asset",Not rendered in the redesigned public site,INTENTIONALLY_EXCLUDED,Not required,Not applicable,"Administrative, plugin, theme-demo or interface artwork; not Vista company content.",Eski/admin/ckeditor/plugins/link/images/anchor.png
public_html/admin/ckeditor/plugins/link/images/hidpi/anchor.png,png,1109,32,32,,b5b952c9dbf47ff88b4904b99cf673cf6ec94cd65f4c66b55eaea5dbb911f4db,NO,"Legacy template, admin or interface asset",Not rendered in the redesigned public site,INTENTIONALLY_EXCLUDED,Not required,Not applicable,"Administrative, plugin, theme-demo or interface artwork; not Vista company content.",Eski/admin/ckeditor/plugins/link/images/hidpi/anchor.png
public_html/admin/ckeditor/plugins/magicline/images/hidpi/icon-rtl.png,png,176,18,20,,4046986f6904328c9d470b44c95f1f50ef82d9e470915ea471e1f4dcc0f06618,NO,"Legacy template, admin or interface asset",Not rendered in the redesigned public site,INTENTIONALLY_EXCLUDED,Not required,Not applicable,"Administrative, plugin, theme-demo or interface artwork; not Vista company content.",Eski/admin/ckeditor/plugins/magicline/images/hidpi/icon-rtl.png
public_html/admin/ckeditor/plugins/magicline/images/hidpi/icon.png,png,199,18,20,,92dfb414e7a31e632288097db347e272ecfd001f9825423a16c623dcaeb968b8,NO,"Legacy template, admin or interface asset",Not rendered in the redesigned public site,INTENTIONALLY_EXCLUDED,Not required,Not applicable,"Administrative, plugin, theme-demo or interface artwork; not Vista company content.",Eski/admin/ckeditor/plugins/magicline/images/hidpi/icon.png
public_html/admin/ckeditor/plugins/magicline/images/icon-rtl.png,png,138,9,10,,9510f6245b266712f0ec4159e5fc5a97e1ad5c667e65b7fb97c5d1f20cfd7ba5,NO,"Legacy template, admin or interface asset",Not rendered in the redesigned public site,INTENTIONALLY_EXCLUDED,Not required,Not applicable,"Administrative, plugin, theme-demo or interface artwork; not Vista company content.",Eski/admin/ckeditor/plugins/magicline/images/icon-rtl.png
public_html/admin/ckeditor/plugins/magicline/images/icon.png,png,133,9,10,,db2f77571f3e9cb69096a5da21af65b0eacf5eaef08492bb831999504a3e115a,NO,"Legacy template, admin or interface asset",Not rendered in the redesigned public site,INTENTIONALLY_EXCLUDED,Not required,Not applicable,"Administrative, plugin, theme-demo or interface artwork; not Vista company content.",Eski/admin/ckeditor/plugins/magicline/images/icon.png
public_html/admin/ckeditor/plugins/videodetector/icons/icon_black.png,png,656,17,17,,d8af5a5333e979ca20c3e096e19975abb90ebf1f5ce606041cc8444c8758f00b,NO,"Legacy template, admin or interface asset",Not rendered in the redesigned public site,INTENTIONALLY_EXCLUDED,Not required,Not applicable,"Administrative, plugin, theme-demo or interface artwork; not Vista company content.",Eski/admin/ckeditor/plugins/videodetector/icons/icon_black.png
public_html/admin/ckeditor/plugins/videodetector/icons/icon_white.png,png,983,34,34,,8c70981a3b4a44be3514e61238fbc2c9e01a48fd336b71d432a7235a337bb553,NO,"Legacy template, admin or interface asset",Not rendered in the redesigned public site,INTENTIONALLY_EXCLUDED,Not required,Not applicable,"Administrative, plugin, theme-demo or interface artwork; not Vista company content.",Eski/admin/ckeditor/plugins/videodetector/icons/icon_white.png
public_html/admin/ckeditor/plugins/videodetector/icons/videodetector.svg,svg,746,,,,40eb96194ce18cdbd3bb3d24073c7ba95fd1d1cef90b36862eaa38ec725f4ef7,NO,"Legacy template, admin or interface asset",Not rendered in the redesigned public site,INTENTIONALLY_EXCLUDED,Not required,Not applicable,"Administrative, plugin, theme-demo or interface artwork; not Vista company content.",Eski/admin/ckeditor/plugins/videodetector/icons/videodetector.svg
public_html/admin/ckeditor/samples/img/github-top.png,png,383,19,18,,79c45a24b057fe7bf88b3e6d546f0788c1deab6712ca4a8dd2d75f776f82dc55,NO,"Legacy template, admin or interface asset",Not rendered in the redesigned public site,INTENTIONALLY_EXCLUDED,Not required,Not applicable,"Administrative, plugin, theme-demo or interface artwork; not Vista company content.",Eski/admin/ckeditor/samples/img/github-top.png
public_html/admin/ckeditor/samples/img/header-bg.png,png,13086,113,146,,2b53f5998bc03548ae2b11056260864d6da1f47764198d50d55ad874fa6f7195,NO,"Legacy template, admin or interface asset",Not rendered in the redesigned public site,INTENTIONALLY_EXCLUDED,Not required,Not applicable,"Administrative, plugin, theme-demo or interface artwork; not Vista company content.",Eski/admin/ckeditor/samples/img/header-bg.png
public_html/admin/ckeditor/samples/img/header-separator.png,png,123,1000,1,,a20d62c7bca75a7768216d6ff7330e2edebfc5cdf86e0f3cbc76914daddf276f,NO,"Legacy template, admin or interface asset",Not rendered in the redesigned public site,INTENTIONALLY_EXCLUDED,Not required,Not applicable,"Administrative, plugin, theme-demo or interface artwork; not Vista company content.",Eski/admin/ckeditor/samples/img/header-separator.png
public_html/admin/ckeditor/samples/img/logo.png,png,5891,156,60,,3f06064634e4f5c7b7d7663207df219364e79af0ab679774e175bf829328a875,NO,"Legacy template, admin or interface asset",Not rendered in the redesigned public site,INTENTIONALLY_EXCLUDED,Not required,Not applicable,"Administrative, plugin, theme-demo or interface artwork; not Vista company content.",Eski/admin/ckeditor/samples/img/logo.png
public_html/admin/ckeditor/samples/img/navigation-tip.png,png,12029,212,300,,8649715971fe8db4134ee1a96b2cafa813012c22c8a108cbdbf720aeb52c8e6a,NO,"Legacy template, admin or interface asset",Not rendered in the redesigned public site,INTENTIONALLY_EXCLUDED,Not required,Not applicable,"Administrative, plugin, theme-demo or interface artwork; not Vista company content.",Eski/admin/ckeditor/samples/img/navigation-tip.png
public_html/admin/ckeditor/samples/old/assets/inlineall/logo.png,png,4283,182,63,,69f2f3778fe884c576df24e955ac388ba8166604c04382f74d587bffe8b951ee,NO,"Legacy template, admin or interface asset",Not rendered in the redesigned public site,INTENTIONALLY_EXCLUDED,Not required,Not applicable,"Administrative, plugin, theme-demo or interface artwork; not Vista company content.",Eski/admin/ckeditor/samples/old/assets/inlineall/logo.png
public_html/admin/ckeditor/samples/old/assets/sample.jpg,jpg,14449,160,200,,934f06ef44b82e41db96ce885ed62905b47f3a02fa49d31040d436334fb3577a,NO,"Legacy template, admin or interface asset",Not rendered in the redesigned public site,INTENTIONALLY_EXCLUDED,Not required,Not applicable,"Administrative, plugin, theme-demo or interface artwork; not Vista company content.",Eski/admin/ckeditor/samples/old/assets/sample.jpg
public_html/admin/ckeditor/samples/toolbarconfigurator/font/fontello.svg,svg,1701,,,,0660da80c6903e1dda005f289c31189c5228bd540815dafe4391915d40e1c21b,NO,"Legacy template, admin or interface asset",Not rendered in the redesigned public site,INTENTIONALLY_EXCLUDED,Not required,Not applicable,"Administrative, plugin, theme-demo or interface artwork; not Vista company content.",Eski/admin/ckeditor/samples/toolbarconfigurator/font/fontello.svg
